日付,始値,高値,安値,終値,出来高,証券コード
4.6311595582,3.4355258515,3.4372747974,3.4353665066,3.4372747974,4.2174839442,1301
4.6311697117,3.4353665066,3.4388586594,3.4353665066,3.4372747974,4.260071388,1301
4.6311798651,3.4372747974,3.4393326938,3.4372747974,3.4385423488,4.45331834,1301
4.6312103237,3.4409090821,3.4454485143,3.4402792132,3.4443571257,4.5550944486,1301
4.6312204761,3.4445132063,3.4499409888,3.4434194618,3.4473131088,4.6739419986,1301
4.6312306283,3.4502491083,3.4511721575,3.4482424126,3.4508646924,4.5390760988,1301
4.6312407802,3.4516329475,3.4534712337,3.4510184522,3.4510184522,4.4424797691,1301
4.6312509319,3.4510184522,3.4522465745,3.4488608456,3.4511721575,4.4248816366,1301
4.6312813856,3.4530123911,3.4556061126,3.4519398694,3.4549972173,4.5526682161,1301
4.6312915363,3.4553017717,3.4598446424,3.45484486,3.4596939765,4.5550944486,1301
4.6313016868,3.4623979979,3.4679039465,3.4616485681,3.4664227224,4.7363965023,1301
4.6313118371,3.4628470358,3.4681995861,3.4628470358,3.4665710724,4.4785664956,1301
4.6313219871,3.4658288154,3.4692327425,3.465234095,3.4690852991,4.5105450102,1301
4.6313524358,3.469822016,3.4739246934,3.4670158184,3.4692327425,4.7126497016,1301
4.6313625849,3.4717316515,3.4749443355,3.4696747726,3.4729026518,4.6570558529,1301
4.6313727337,3.4747988188,3.4792873165,3.4737788346,3.4792873165,4.8864907252,1301
4.6313828823,3.4814426285,3.4821586954,3.4792873165,3.480006943,4.7201593034,1301
4.6313930307,3.4814426285,3.483587297,3.480006943,3.4828735836,4.6551384348,1301
4.6314234744,3.4842998393,3.4948500217,3.4842998393,3.492760389,5.0692980121,1301
4.6314336218,3.494154594,3.4983105538,3.4920616045,3.493458051,4.8959747324,1301
4.631443769,3.4913616938,3.4976206498,3.4906606534,3.4962375452,4.890979597,1301
4.631453916,3.4962375452,3.5017437296,3.4955443375,3.4989993636,4.9827233877,1301
4.6314640627,3.5003737144,3.5017437296,3.492760389,3.4962375452,5.0441476209,1301
4.6314945014,3.4962375452,3.50242712,3.4948500217,3.5003737144,4.8692317197,1301
4.6315046472,3.50242712,3.5051499783,3.4996870826,3.5051499783,4.8790958795,1301
4.6315147927,3.5065050324,3.5065050324,3.4962375452,3.4969296481,4.9876662649,1301
4.631524938,3.4955443375,3.5010592622,3.492760389,3.4996870826,4.7419390777,1301
4.631535083,3.5010592622,3.5044708625,3.5003737144,3.5044708625,4.7881683711,1301
4.6315756609,3.50242712,3.5058280339,3.5017437296,3.5031094367,4.8704039053,1301
4.6315858047,3.4989993636,3.5017437296,3.4976206498,3.4983105538,4.8621313793,1301
4.6315959484,3.4955443375,3.4983105538,3.492760389,3.493458051,4.8970770032,1301
4.6316060918,3.493458051,3.4969296481,3.493458051,3.4948500217,4.7972675408,1301
4.6316365205,3.4948500217,3.4962375452,3.492760389,3.494154594,4.9508514589,1301
4.631646663,3.494154594,3.4983105538,3.492760389,3.493458051,5.2753113545,1301
4.6316568052,3.4842998393,3.4864304789,3.4769764658,3.4785664956,5.221153322,1301
4.6316669471,3.4778444763,3.4785664956,3.4677560512,3.4686426684,5.0170333393,1301
4.6316770889,3.4695274792,3.476541809,3.4677560512,3.4677560512,4.7944880467,1301
4.6317075127,3.4692327425,3.480725379,3.4686426684,3.4785664956,4.9074113608,1301
4.6317176535,3.4778444763,3.480006943,3.4746532534,3.4785664956,4.8876173003,1301
4.631727794,3.4792873165,3.4814426285,3.476251796,3.4778444763,4.5538830266,1301
4.6317379343,3.4742162641,3.476251796,3.4684950245,3.4686426684,4.5390760988,1301
4.6317480744,3.4712917111,3.4742162641,3.4686426684,3.4689378057,4.4983105538,1301
4.6317784932,3.4670158184,3.4693801358,3.4646385591,3.4662743218,4.4232458739,1301
4.6317886323,3.46329561,3.4665710724,3.4631461367,3.4640422054,4.3384564936,1301
4.6317987712,3.4631461367,3.4635944022,3.458335626,3.4616485681,4.4756711883,1301
4.6318089099,3.4565178578,3.4620983811,3.4563660331,3.4598446424,4.6273658566,1301
4.6318190483,3.4593924878,3.4605971889,3.4553017717,3.4563660331,4.2878017299,1301
4.6318494622,3.4563660331,3.4628470358,3.4562141554,3.4617985575,4.3692158574,1301
4.6318595996,3.4608978428,3.4608978428,3.4562141554,3.4593924878,4.434568904,1301
4.6318697369,3.4593924878,3.4622482154,3.4593924878,3.4619484952,4.5051499783,1301
4.6318798739,3.4623979979,3.465234095,3.4572761861,3.4580331925,4.4313637642,1301
4.6318900106,3.4608978428,3.4608978428,3.4580331925,3.4605971889,4.2430380487,1301
4.6319204195,3.4623979979,3.4653828514,3.458637849,3.465234095,4.4996870826,1301
